zcta,downloadDate,cases
47634,2021-08-16,270
46779,2021-08-16,231
46785,2021-08-16,141
46787,2021-08-16,357
46910,2021-08-16,441
47433,2021-08-16,371
47448,2021-08-16,670
47520,2021-08-16,267
47970,2021-08-16,235
46936,2021-08-16,839
46994,2021-08-16,355
47126,2021-08-16,490
47136,2021-08-16,511
47885,2021-08-16,1130
46050,2021-08-16,162
46115,2021-08-16,186
46124,2021-08-16,897
47232,2021-08-16,246
47320,2021-08-16,439
47383,2021-08-16,280
47394,2021-08-16,1017
47553,2021-08-16,761
47665,2021-08-16,507
47838,2021-08-16,470
47874,2021-08-16,369
47043,2021-08-16,566
47124,2021-08-16,473
47138,2021-08-16,415
47164,2021-08-16,330
46940,2021-08-16,326
46962,2021-08-16,933
47022,2021-08-16,358
47143,2021-08-16,446
47031,2021-08-16,591
47037,2021-08-16,405
47042,2021-08-16,502
